A,HR,Y15-64,T,PL92	42.2 	41.4 b
A,HR,Y15-64,T,PT11	40.1 	40.1 b
A,HR,Y15-64,T,PT15	40.3 	40.0 b
A,HR,Y15-64,T,PT16	39.8 	39.9 b
A,HR,Y15-64,T,PT17	40.2 	39.9 b
A,HR,Y15-64,T,PT18	40.4 	40.1 b
A,HR,Y15-64,T,PT20	38.6 	38.6 b
A,HR,Y15-64,T,PT30	37.4 	38.4 b
A,HR,Y15-64,T,RO11	40.0 	40.3 b
A,HR,Y15-64,T,RO12	40.2 	40.3 b
A,HR,Y15-64,T,RO21	40.1 	40.1 b
A,HR,Y15-64,T,RO22	40.1 	40.0 b
A,HR,Y15-64,T,RO31	39.0 	40.4 b
A,HR,Y15-64,T,RO32	40.2 	39.9 b
A,HR,Y15-64,T,RO41	39.6 	39.9 b
A,HR,Y15-64,T,RO42	40.0 	40.2 b
A,HR,Y15-64,T,RS11	42.3 	41.8 b
A,HR,Y15-64,T,RS12	42.7 	42.7 b
A,HR,Y15-64,T,RS21	44.3 	44.5 b
A,HR,Y15-64,T,RS22	42.9 	43.6 b
A,HR,Y15-64,T,SE11	37.0 	38.7 b
A,HR,Y15-64,T,SE12	36.8 	38.1 b
A,HR,Y15-64,T,SE21	36.7 	38.5 b
A,HR,Y15-64,T,SE22	36.5 	38.0 b
A,HR,Y15-64,T,SE23	36.9 	38.5 b
A,HR,Y15-64,T,SE31	37.0 	38.2 b
A,HR,Y15-64,T,SE32	37.3 	38.0 b
A,HR,Y15-64,T,SE33	36.8 	38.8 b
A,HR,Y15-64,T,SI03	39.4 	39.7 b
A,HR,Y15-64,T,SI04	39.1 	39.4 b
A,HR,Y15-64,T,SK01	41.4 	39.7 b
A,HR,Y15-64,T,SK02	40.1 	39.3 b
A,HR,Y15-64,T,SK03	39.9 	40.1 b
A,HR,Y15-64,T,SK04	39.0 	39.5 b
A,HR,Y15-64,T,TR10	47.9 	46.3 b
A,HR,Y15-64,T,TR21	43.9 	44.0 b
A,HR,Y15-64,T,TR22	46.4 	46.1 b
A,HR,Y15-64,T,TR31	45.3 	44.9 b
A,HR,Y15-64,T,TR32	47.0 	45.2 b
A,HR,Y15-64,T,TR33	47.5 	44.1 b
A,HR,Y15-64,T,TR41	46.5 	45.5 b
A,HR,Y15-64,T,TR42	45.4 	44.5 b
A,HR,Y15-64,T,TR51	44.9 	44.3 b
A,HR,Y15-64,T,TR52	46.6 	45.2 b
A,HR,Y15-64,T,TR61	47.6 	45.7 b
A,HR,Y15-64,T,TR62	46.6 	43.5 b
A,HR,Y15-64,T,TR63	46.8 	45.7 b
A,HR,Y15-64,T,TR71	44.3 	43.2 b
A,HR,Y15-64,T,TR72	44.7 	43.4 b
A,HR,Y15-64,T,TR81	45.1 	43.3 b
A,HR,Y15-64,T,TR82	45.2 	44.7 b
A,HR,Y15-64,T,TR83	47.2 	43.6 b
A,HR,Y15-64,T,TR90	47.1 	44.6 b
A,HR,Y15-64,T,TRA1	46.5 	45.0 b
A,HR,Y15-64,T,TRA2	36.5 	43.3 b
A,HR,Y15-64,T,TRB1	43.0 	42.6 b
A,HR,Y15-64,T,TRB2	45.4 	46.5 b
A,HR,Y15-64,T,TRC1	49.3 	46.8 b
A,HR,Y15-64,T,TRC2	50.5 	52.0 b
A,HR,Y15-64,T,TRC3	52.7 	50.5 b
A,HR,Y15-64,T,UKC1	35.9 	: 
A,HR,Y15-64,T,UKC2	35.7 	: 
A,HR,Y15-64,T,UKD1	36.9 	: 
A,HR,Y15-64,T,UKD3	36.2 	: 
A,HR,Y15-64,T,UKD4	36.6 	: 
A,HR,Y15-64,T,UKD6	37.0 	: 
A,HR,Y15-64,T,UKD7	36.5 	: 
A,HR,Y15-64,T,UKE1	36.5 	: 
A,HR,Y15-64,T,UKE2	36.5 	: 
A,HR,Y15-64,T,UKE3	36.2 	: 
A,HR,Y15-64,T,UKE4	36.4 	: 
A,HR,Y15-64,T,UKF1	36.9 	: 
A,HR,Y15-64,T,UKF2	37.2 	: 
A,HR,Y15-64,T,UKF3	37.5 	: 
A,HR,Y15-64,T,UKG1	36.6 	: 
A,HR,Y15-64,T,UKG2	37.7 	: 
A,HR,Y15-64,T,UKG3	36.4 	: 
A,HR,Y15-64,T,UKH1	37.3 	: 
A,HR,Y15-64,T,UKH2	37.5 	: 
A,HR,Y15-64,T,UKH3	37.5 	: 
A,HR,Y15-64,T,UKI3	41.4 	: 
A,HR,Y15-64,T,UKI4	38.7 	: 
A,HR,Y15-64,T,UKI5	37.0 	: 
A,HR,Y15-64,T,UKI6	37.9 	: 
A,HR,Y15-64,T,UKI7	37.8 	: 
A,HR,Y15-64,T,UKJ1	37.9 	: 
A,HR,Y15-64,T,UKJ2	36.8 	: 
A,HR,Y15-64,T,UKJ3	36.8 	: 
A,HR,Y15-64,T,UKJ4	37.0 	: 
A,HR,Y15-64,T,UKK1	36.9 	: 
A,HR,Y15-64,T,UKK2	36.3 	: 
A,HR,Y15-64,T,UKK3	36.0 	: 
A,HR,Y15-64,T,UKK4	35.7 	: 
A,HR,Y15-64,T,UKL1	36.6 	: 
A,HR,Y15-64,T,UKL2	36.3 	: 
A,HR,Y15-64,T,UKM5	37.9 	: 
A,HR,Y15-64,T,UKM6	37.1 	: 
A,HR,Y15-64,T,UKM7	36.3 	: 
A,HR,Y15-64,T,UKM8	36.0 	: 
A,HR,Y15-64,T,UKM9	37.3 	: 
A,HR,Y15-64,T,UKN0	36.7 	: 
