A,PC,T,Y15-64,PT15	78.0 	76.7 b
A,PC,T,Y15-64,PT16	74.4 	73.9 b
A,PC,T,Y15-64,PT17	76.7 	76.5 b
A,PC,T,Y15-64,PT18	74.2 	75.4 b
A,PC,T,Y15-64,PT20	69.5 	68.2 b
A,PC,T,Y15-64,PT30	71.4 	70.4 b
A,PC,T,Y15-64,RO11	68.9 	68.1 b
A,PC,T,Y15-64,RO12	63.4 	63.5 b
A,PC,T,Y15-64,RO21	72.2 	65.6 b
A,PC,T,Y15-64,RO22	61.7 	61.8 b
A,PC,T,Y15-64,RO31	67.6 	65.1 b
A,PC,T,Y15-64,RO32	73.2 	75.4 b
A,PC,T,Y15-64,RO41	66.4 	61.4 b
A,PC,T,Y15-64,RO42	61.7 	61.5 b
A,PC,T,Y15-64,RS11	69.7 	73.6 b
A,PC,T,Y15-64,RS12	65.3 	69.1 b
A,PC,T,Y15-64,RS21	67.0 	70.2 b
A,PC,T,Y15-64,RS22	64.7 	64.9 b
A,PC,T,Y15-64,SE11	84.7 	85.2 b
A,PC,T,Y15-64,SE12	80.9 	81.3 b
A,PC,T,Y15-64,SE21	83.0 	82.3 b
A,PC,T,Y15-64,SE22	80.9 	81.3 b
A,PC,T,Y15-64,SE23	82.9 	83.2 b
A,PC,T,Y15-64,SE31	81.3 	80.5 b
A,PC,T,Y15-64,SE32	82.4 	83.6 b
A,PC,T,Y15-64,SE33	81.9 	79.3 b
A,PC,T,Y15-64,SI03	73.5 	73.7 b
A,PC,T,Y15-64,SI04	75.0 	76.5 b
A,PC,T,Y15-64,SK01	78.6 	80.6 b
A,PC,T,Y15-64,SK02	72.9 	76.2 b
A,PC,T,Y15-64,SK03	71.9 	74.3 b
A,PC,T,Y15-64,SK04	68.8 	70.6 b
A,PC,T,Y15-64,TR10	61.8 	58.7 b
A,PC,T,Y15-64,TR21	65.2 	64.7 b
A,PC,T,Y15-64,TR22	58.1 	59.1 b
A,PC,T,Y15-64,TR31	62.1 	60.3 b
A,PC,T,Y15-64,TR32	62.4 	61.8 b
A,PC,T,Y15-64,TR33	59.7 	59.1 b
