freq,isced11,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,TOTAL,T,Y15-64,PC_ACT,UKI7	1.1 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ1	0.4 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ2	0.8 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ3	0.8 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKJ4	1.2 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK1	1.0 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK2	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK3	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKK4	1.1 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKL1	1.3 	: 
A,TOTAL,T,Y15-64,PC_ACT,UKL2	1.3 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM5	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM6	: u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM7	1.0 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM8	1.1 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKM9	1.6 u	: 
A,TOTAL,T,Y15-64,PC_ACT,UKN0	2.3 	: 
