freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,TR42	40822.6 
A,MIO_EUR,TOTAL,TR51	57031.11 
A,MIO_EUR,TOTAL,TR52	14242.8 
A,MIO_EUR,TOTAL,TR61	21694.12 
A,MIO_EUR,TOTAL,TR62	24197.65 
A,MIO_EUR,TOTAL,TR63	16726.65 
A,MIO_EUR,TOTAL,TR71	8057.27 
A,MIO_EUR,TOTAL,TR72	13666.15 
A,MIO_EUR,TOTAL,TR81	5930.3 
A,MIO_EUR,TOTAL,TR82	4162.43 
A,MIO_EUR,TOTAL,TR83	12068.37 
A,MIO_EUR,TOTAL,TR90	11871.66 
A,MIO_EUR,TOTAL,TRA1	4918.83 
A,MIO_EUR,TOTAL,TRA2	3311.62 
A,MIO_EUR,TOTAL,TRB1	7674.25 
A,MIO_EUR,TOTAL,TRB2	5912.27 
A,MIO_EUR,TOTAL,TRC1	15328.92 
A,MIO_EUR,TOTAL,TRC2	10439.23 
A,MIO_EUR,TOTAL,TRC3	8731.38 
