freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y25-64,PT16	9.5 	12.8 b
A,PC,T,Y25-64,PT17	13.0 	15.1 b
A,PC,T,Y25-64,PT18	8.4 	11.6 b
A,PC,T,Y25-64,PT2	5.8 	8.2 b
A,PC,T,Y25-64,PT20	5.8 	8.2 b
A,PC,T,Y25-64,PT3	7.9 	8.9 b
A,PC,T,Y25-64,PT30	7.9 	8.9 b
A,PC,T,Y25-64,RO	1.1 	4.9 b
A,PC,T,Y25-64,RO1	1.1 	5.2 b
A,PC,T,Y25-64,RO11	1.1 	8.5 b
A,PC,T,Y25-64,RO12	1.1 	1.5 b
A,PC,T,Y25-64,RO2	0.9 	5.8 b
A,PC,T,Y25-64,RO21	1.1 	6.3 b
A,PC,T,Y25-64,RO22	0.6 u	5.1 b
A,PC,T,Y25-64,RO3	1.4 	5.5 b
A,PC,T,Y25-64,RO31	1.4 	6.3 b
A,PC,T,Y25-64,RO32	1.3 	4.6 b
A,PC,T,Y25-64,RO4	0.9 	2.5 b
A,PC,T,Y25-64,RO41	0.7 u	3.1 b
A,PC,T,Y25-64,RO42	1.1 u	2.0 b
A,PC,T,Y25-64,RS	4.4 	4.8 b
A,PC,T,Y25-64,RS1	5.4 	6.1 b
A,PC,T,Y25-64,RS11	6.2 	7.7 b
A,PC,T,Y25-64,RS12	4.8 	4.5 b
A,PC,T,Y25-64,RS2	3.2 	3.3 b
A,PC,T,Y25-64,RS21	3.1 	3.0 b
A,PC,T,Y25-64,RS22	3.3 	3.7 b
A,PC,T,Y25-64,SE	30.4 	34.7 b
A,PC,T,Y25-64,SE1	31.3 	36.0 b
A,PC,T,Y25-64,SE11	31.6 	36.5 b
A,PC,T,Y25-64,SE12	30.8 	35.1 b
A,PC,T,Y25-64,SE2	30.8 	34.4 b
A,PC,T,Y25-64,SE21	27.9 	32.6 b
A,PC,T,Y25-64,SE22	31.6 	35.0 b
A,PC,T,Y25-64,SE23	31.3 	34.6 b
A,PC,T,Y25-64,SE3	27.6 	32.2 b
A,PC,T,Y25-64,SE31	27.8 	33.6 b
A,PC,T,Y25-64,SE32	27.2 	31.2 b
A,PC,T,Y25-64,SE33	27.5 	30.7 b
A,PC,T,Y25-64,SI	12.0 	18.9 b
A,PC,T,Y25-64,SI0	12.0 	18.9 b
A,PC,T,Y25-64,SI03	10.6 	17.4 b
A,PC,T,Y25-64,SI04	13.6 	20.6 b
A,PC,T,Y25-64,SK	3.4 	4.8 b
A,PC,T,Y25-64,SK0	3.4 	4.8 b
A,PC,T,Y25-64,SK01	5.8 	8.7 b
A,PC,T,Y25-64,SK02	3.2 	3.2 b
A,PC,T,Y25-64,SK03	2.6 	4.3 b
A,PC,T,Y25-64,SK04	3.3 	5.3 b
A,PC,T,Y25-64,TR	5.8 	6.5 b
A,PC,T,Y25-64,TR1	8.2 	8.9 b
A,PC,T,Y25-64,TR10	8.2 	8.9 b
A,PC,T,Y25-64,TR2	5.3 	6.7 b
A,PC,T,Y25-64,TR21	5.8 	7.1 b
A,PC,T,Y25-64,TR22	4.9 	6.3 b
A,PC,T,Y25-64,TR3	4.7 	4.7 b
A,PC,T,Y25-64,TR31	6.3 	6.1 b
A,PC,T,Y25-64,TR32	4.1 	4.0 b
