freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,PL22	4.4 u	6.8 bu
A,PC,T,Y18-24,PL4	6.3 	6.9 b
A,PC,T,Y18-24,PL41	4.1 u	4.1 bu
A,PC,T,Y18-24,PL42	10.0 u	12.2 bu
A,PC,T,Y18-24,PL43	8.1 u	: bu
A,PC,T,Y18-24,PL5	4.1 u	7.8 bu
A,PC,T,Y18-24,PL51	4.5 u	8.5 bu
A,PC,T,Y18-24,PL52	: u	: bu
A,PC,T,Y18-24,PL6	7.7 	4.8 bu
A,PC,T,Y18-24,PL61	9.3 u	: bu
A,PC,T,Y18-24,PL62	9.2 u	: bu
A,PC,T,Y18-24,PL63	5.3 u	: bu
A,PC,T,Y18-24,PL7	4.5 u	5.8 bu
A,PC,T,Y18-24,PL71	5.0 u	6.8 bu
A,PC,T,Y18-24,PL72	: u	: bu
A,PC,T,Y18-24,PL8	3.7 	5.5 b
A,PC,T,Y18-24,PL81	4.4 u	: bu
A,PC,T,Y18-24,PL82	3.0 u	: bu
A,PC,T,Y18-24,PL84	: u	: bu
A,PC,T,Y18-24,PL9	3.9 u	5.3 bu
A,PC,T,Y18-24,PL91	: u	5.9 bu
A,PC,T,Y18-24,PL92	4.8 u	: bu
A,PC,T,Y18-24,PT	12.6 	6.4 b
A,PC,T,Y18-24,PT1	12.0 	5.8 b
A,PC,T,Y18-24,PT11	12.9 	4.7 b
A,PC,T,Y18-24,PT15	17.0 	: bu
A,PC,T,Y18-24,PT16	10.5 	7.2 b
A,PC,T,Y18-24,PT17	10.9 	5.9 b
A,PC,T,Y18-24,PT18	13.5 	: bu
A,PC,T,Y18-24,PT2	27.8 	22.5 bu
A,PC,T,Y18-24,PT20	27.8 	22.5 bu
A,PC,T,Y18-24,PT3	: u	: bu
A,PC,T,Y18-24,PT30	: u	: bu
A,PC,T,Y18-24,RO	18.1 	15.3 b
A,PC,T,Y18-24,RO1	18.5 	18.1 b
A,PC,T,Y18-24,RO11	16.3 	16.3 b
A,PC,T,Y18-24,RO12	21.1 	20.2 b
A,PC,T,Y18-24,RO2	23.1 	18.3 b
A,PC,T,Y18-24,RO21	23.6 	15.3 b
A,PC,T,Y18-24,RO22	22.4 	22.9 b
