freq,nace_r2,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,HTC,PC_EMP,T,UKD1	2.1 u	: 
A,HTC,PC_EMP,T,UKD3	4.2 	: 
A,HTC,PC_EMP,T,UKD4	3.0 	: 
A,HTC,PC_EMP,T,UKD6	7.5 	: 
A,HTC,PC_EMP,T,UKD7	2.4 	: 
A,HTC,PC_EMP,T,UKE1	2.7 	: 
A,HTC,PC_EMP,T,UKE2	4.1 	: 
A,HTC,PC_EMP,T,UKE3	2.8 	: 
A,HTC,PC_EMP,T,UKE4	3.4 	: 
A,HTC,PC_EMP,T,UKF1	4.0 	: 
A,HTC,PC_EMP,T,UKF2	4.9 	: 
A,HTC,PC_EMP,T,UKF3	2.5 u	: 
A,HTC,PC_EMP,T,UKG1	4.9 	: 
A,HTC,PC_EMP,T,UKG2	2.9 	: 
A,HTC,PC_EMP,T,UKG3	2.6 	: 
A,HTC,PC_EMP,T,UKH1	6.0 	: 
A,HTC,PC_EMP,T,UKH2	6.8 	: 
A,HTC,PC_EMP,T,UKH3	3.3 	: 
A,HTC,PC_EMP,T,UKI3	9.9 	: 
A,HTC,PC_EMP,T,UKI4	7.1 	: 
A,HTC,PC_EMP,T,UKI5	5.1 	: 
A,HTC,PC_EMP,T,UKI6	7.3 	: 
A,HTC,PC_EMP,T,UKI7	7.9 	: 
A,HTC,PC_EMP,T,UKJ1	10.9 	: 
A,HTC,PC_EMP,T,UKJ2	7.2 	: 
A,HTC,PC_EMP,T,UKJ3	5.6 	: 
A,HTC,PC_EMP,T,UKJ4	3.2 	: 
A,HTC,PC_EMP,T,UKK1	5.4 	: 
A,HTC,PC_EMP,T,UKK2	3.9 	: 
A,HTC,PC_EMP,T,UKK3	2.9 u	: 
A,HTC,PC_EMP,T,UKK4	3.2 	: 
A,HTC,PC_EMP,T,UKL1	2.2 	: 
A,HTC,PC_EMP,T,UKL2	5.4 	: 
A,HTC,PC_EMP,T,UKM5	1.7 u	: 
A,HTC,PC_EMP,T,UKM6	2.6 u	: 
A,HTC,PC_EMP,T,UKM7	4.8 	: 
A,HTC,PC_EMP,T,UKM8	4.7 	: 
A,HTC,PC_EMP,T,UKM9	3.1 	: 
A,HTC,PC_EMP,T,UKN0	2.5 	: 
