freq,sex,age,unit,geo\TIME_PERIOD	2017 	2021 
A,T,Y15-24,PC,SE12	10.4 	13.6 b
A,T,Y15-24,PC,SE21	8.1 	12.7 b
A,T,Y15-24,PC,SE22	11.0 	14.5 b
A,T,Y15-24,PC,SE23	9.0 	12.9 b
A,T,Y15-24,PC,SE31	10.9 	12.9 b
A,T,Y15-24,PC,SE32	11.1 	10.6 bu
A,T,Y15-24,PC,SE33	8.6 	11.2 b
A,T,Y15-24,PC,SI03	5.0 	4.7 bu
A,T,Y15-24,PC,SI04	3.8 u	3.9 bu
A,T,Y15-24,PC,SK01	4.2 u	: bu
A,T,Y15-24,PC,SK02	3.3 	: bu
A,T,Y15-24,PC,SK03	6.5 	5.7 bu
A,T,Y15-24,PC,SK04	9.3 	8.4 b
A,T,Y15-24,PC,TR10	11.2 	9.3 b
A,T,Y15-24,PC,TR21	10.4 	8.9 b
A,T,Y15-24,PC,TR22	5.9 	7.9 b
A,T,Y15-24,PC,TR31	13.0 	11.5 b
A,T,Y15-24,PC,TR32	7.4 	8.3 b
A,T,Y15-24,PC,TR33	6.1 	7.3 b
A,T,Y15-24,PC,TR41	8.3 	8.2 b
A,T,Y15-24,PC,TR42	9.3 	8.7 b
A,T,Y15-24,PC,TR51	9.8 	11.2 b
A,T,Y15-24,PC,TR52	5.3 	6.5 b
A,T,Y15-24,PC,TR61	11.5 	9.5 b
A,T,Y15-24,PC,TR62	8.3 	10.7 b
A,T,Y15-24,PC,TR63	8.6 	12.2 b
A,T,Y15-24,PC,TR71	10.4 	9.4 b
A,T,Y15-24,PC,TR72	10.1 	10.7 b
A,T,Y15-24,PC,TR81	8.3 	11.3 b
A,T,Y15-24,PC,TR82	5.9 	6.8 b
A,T,Y15-24,PC,TR83	6.1 	8.0 b
A,T,Y15-24,PC,TR90	4.1 	11.4 b
A,T,Y15-24,PC,TRA1	4.2 	6.5 b
A,T,Y15-24,PC,TRA2	4.4 	8.2 b
A,T,Y15-24,PC,TRB1	4.6 	8.0 b
A,T,Y15-24,PC,TRB2	6.3 	10.8 b
A,T,Y15-24,PC,TRC1	9.4 	7.8 b
A,T,Y15-24,PC,TRC2	7.6 	6.7 b
A,T,Y15-24,PC,TRC3	12.1 	14.4 b
A,T,Y15-24,PC,UKC1	8.6 	: 
A,T,Y15-24,PC,UKC2	8.7 	: 
A,T,Y15-24,PC,UKD1	: u	: 
A,T,Y15-24,PC,UKD3	6.1 	: 
A,T,Y15-24,PC,UKD4	8.5 	: 
A,T,Y15-24,PC,UKD6	4.7 u	: 
A,T,Y15-24,PC,UKD7	7.5 	: 
A,T,Y15-24,PC,UKE1	6.6 u	: 
A,T,Y15-24,PC,UKE2	5.4 u	: 
A,T,Y15-24,PC,UKE3	7.4 	: 
A,T,Y15-24,PC,UKE4	6.1 	: 
A,T,Y15-24,PC,UKF1	6.9 	: 
A,T,Y15-24,PC,UKF2	6.6 	: 
A,T,Y15-24,PC,UKF3	7.5 u	: 
A,T,Y15-24,PC,UKG1	6.7 u	: 
A,T,Y15-24,PC,UKG2	10.5 	: 
A,T,Y15-24,PC,UKG3	10.2 	: 
A,T,Y15-24,PC,UKH1	7.8 	: 
A,T,Y15-24,PC,UKH2	6.4 	: 
A,T,Y15-24,PC,UKH3	6.5 	: 
A,T,Y15-24,PC,UKI3	5.6 u	: 
A,T,Y15-24,PC,UKI4	5.9 	: 
A,T,Y15-24,PC,UKI5	9.5 	: 
A,T,Y15-24,PC,UKI6	8.5 	: 
A,T,Y15-24,PC,UKI7	6.9 	: 
A,T,Y15-24,PC,UKJ1	5.7 	: 
A,T,Y15-24,PC,UKJ2	6.6 	: 
A,T,Y15-24,PC,UKJ3	7.6 	: 
A,T,Y15-24,PC,UKJ4	5.0 u	: 
A,T,Y15-24,PC,UKK1	7.0 	: 
A,T,Y15-24,PC,UKK2	4.8 u	: 
A,T,Y15-24,PC,UKK3	: u	: 
A,T,Y15-24,PC,UKK4	7.0 u	: 
A,T,Y15-24,PC,UKL1	7.4 	: 
A,T,Y15-24,PC,UKL2	7.1 u	: 
A,T,Y15-24,PC,UKM5	: u	: 
A,T,Y15-24,PC,UKM6	: u	: 
A,T,Y15-24,PC,UKM7	3.5 u	: 
A,T,Y15-24,PC,UKM8	7.1 	: 
A,T,Y15-24,PC,UKM9	8.7 u	: 
A,T,Y15-24,PC,UKN0	4.9 	: 
