freq,age,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,Y15-24,PC,T,RO41	21.3 	29.7 b
A,Y15-24,PC,T,RO42	: u	29.2 bu
A,Y15-24,PC,T,RS11	32.0 	21.5 b
A,Y15-24,PC,T,RS12	30.1 	23.0 b
A,Y15-24,PC,T,RS21	32.1 	28.7 b
A,Y15-24,PC,T,RS22	34.1 	32.3 b
A,Y15-24,PC,T,SE11	17.1 	25.7 b
A,Y15-24,PC,T,SE12	19.9 	26.2 b
A,Y15-24,PC,T,SE21	14.0 	23.4 b
A,Y15-24,PC,T,SE22	21.2 	27.3 b
A,Y15-24,PC,T,SE23	15.9 	23.0 b
A,Y15-24,PC,T,SE31	20.5 	24.7 b
A,Y15-24,PC,T,SE32	20.2 	17.0 bu
A,Y15-24,PC,T,SE33	15.4 	22.6 b
A,Y15-24,PC,T,SI03	12.7 	13.8 bu
A,Y15-24,PC,T,SI04	9.8 u	11.8 bu
A,Y15-24,PC,T,SK01	13.0 u	: bu
A,Y15-24,PC,T,SK02	9.9 	: bu
A,Y15-24,PC,T,SK03	18.4 	20.8 bu
A,Y15-24,PC,T,SK04	30.0 	31.6 b
A,Y15-24,PC,T,TR10	23.0 	21.1 b
A,Y15-24,PC,T,TR21	20.0 	18.6 b
A,Y15-24,PC,T,TR22	13.9 	18.0 b
A,Y15-24,PC,T,TR31	26.3 	24.9 b
A,Y15-24,PC,T,TR32	16.2 	18.4 b
A,Y15-24,PC,T,TR33	14.0 	16.2 b
A,Y15-24,PC,T,TR41	18.6 	18.9 b
A,Y15-24,PC,T,TR42	19.4 	19.4 b
A,Y15-24,PC,T,TR51	24.4 	28.1 b
A,Y15-24,PC,T,TR52	11.6 	14.3 b
A,Y15-24,PC,T,TR61	24.3 	20.8 b
A,Y15-24,PC,T,TR62	18.7 	24.7 b
A,Y15-24,PC,T,TR63	21.7 	30.0 b
A,Y15-24,PC,T,TR71	25.0 	21.8 b
A,Y15-24,PC,T,TR72	24.4 	27.3 b
A,Y15-24,PC,T,TR81	20.6 	28.6 b
A,Y15-24,PC,T,TR82	11.1 	13.5 b
A,Y15-24,PC,T,TR83	14.7 	16.9 b
A,Y15-24,PC,T,TR90	14.7 	30.4 b
A,Y15-24,PC,T,TRA1	13.2 	19.0 b
A,Y15-24,PC,T,TRA2	11.6 	22.8 b
A,Y15-24,PC,T,TRB1	11.7 	22.1 b
A,Y15-24,PC,T,TRB2	16.4 	28.0 b
A,Y15-24,PC,T,TRC1	24.4 	19.0 b
A,Y15-24,PC,T,TRC2	17.7 	21.4 b
A,Y15-24,PC,T,TRC3	40.1 	43.5 b
A,Y15-24,PC,T,UKC1	14.1 	: 
A,Y15-24,PC,T,UKC2	14.0 	: 
A,Y15-24,PC,T,UKD1	: u	: 
A,Y15-24,PC,T,UKD3	10.5 	: 
A,Y15-24,PC,T,UKD4	14.0 	: 
A,Y15-24,PC,T,UKD6	7.6 u	: 
A,Y15-24,PC,T,UKD7	14.1 	: 
A,Y15-24,PC,T,UKE1	10.5 u	: 
A,Y15-24,PC,T,UKE2	9.0 u	: 
A,Y15-24,PC,T,UKE3	12.8 	: 
A,Y15-24,PC,T,UKE4	11.6 	: 
A,Y15-24,PC,T,UKF1	11.5 	: 
A,Y15-24,PC,T,UKF2	11.3 	: 
A,Y15-24,PC,T,UKF3	11.8 u	: 
A,Y15-24,PC,T,UKG1	12.1 u	: 
A,Y15-24,PC,T,UKG2	15.4 	: 
A,Y15-24,PC,T,UKG3	21.4 	: 
A,Y15-24,PC,T,UKH1	12.4 	: 
A,Y15-24,PC,T,UKH2	11.3 	: 
A,Y15-24,PC,T,UKH3	10.6 	: 
A,Y15-24,PC,T,UKI3	14.1 u	: 
A,Y15-24,PC,T,UKI4	12.0 	: 
A,Y15-24,PC,T,UKI5	19.0 	: 
